option_name,autoload,size_bytes,owner,active_owner,recommended_action,confidence,rollback,notes
elementor_remote_info_library,off,644788,elementor,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
elementor_pro_remote_info_api_data_3.35.1,off,252198,elementor,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
elementor_controls_usage,off,206743,elementor,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
wp-smush-optimize-list,off,138942,wp-smushit,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
wcpay_onboarding_fields_data__pl_PL,no,105022,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
_site_transient_feed_a2a8f6ff8f129a81518b9f747f983e41,off,69537,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
_site_transient_feed_a421d6f32723068ab074a40017a9e1f9,off,69514,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
_site_transient_available_translations,off,49038,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
elementor_log,off,47410,elementor,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
wp-all-export-pro_f3e07d8a5567b52eda97b45478a42948,no,45348,wp-all-export-pro,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
rewrite_rules,auto,39594,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
rank_math_backups,off,39496,seo-by-rank-math,yes,KEEP,high,Restore from app/sql/local.sql,
_wpallimport_session_new_,off,36569,wp-all-import-pro,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
mwai_options,off,33550,ai-engine,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
fs_accounts,yes,24389,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
_transient_wp_core_block_css_files,on,22266,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
_site_transient_update_plugins,off,21905,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
rank_math_indexnow_log,off,20902,seo-by-rank-math,yes,KEEP,high,Restore from app/sql/local.sql,
wpseo_titles,yes,20079,wordpress-seo,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,Autoloaded 20079B from inactive plugin
updraft_backup_history,off,19355,updraftplus,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
rank-math-options-titles,on,19115,seo-by-rank-math,yes,KEEP,high,Restore from app/sql/local.sql,
wpseo_taxonomy_meta,yes,18479,wordpress-seo,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,Autoloaded 18479B from inactive plugin
ab12CD34_user_roles,on,17991,unknown,no,REVIEW,low,Restore from app/sql/local.sql,Autoloaded 17991B from inactive plugin
cmplz_transients,auto,16987,complianz-gdpr,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,Autoloaded 16987B from inactive plugin
_site_transient_woocommerce_blocks_patterns,off,16278,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
shipx_statuses,yes,13116,inpost-for-woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
rank-math-options-general,on,12894,seo-by-rank-math,yes,KEEP,high,Restore from app/sql/local.sql,
cmplz_preloaded_privacy_info,off,12294,complianz-gdpr,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
_elementor_notifications_data,off,12074,elementor,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
um_options,auto,11669,ultimate-member,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,Autoloaded 11669B from inactive plugin
_elementor_home_screen_data,off,11481,elementor,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
woo_inpost_services_global,yes,11119,inpost-for-woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
inpost_pl_organisation_services_global,auto,11119,inpost-for-woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
cron,on,10175,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
_transient_wc_attribute_taxonomies,on,10022,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
berocket_plugin_error_1,off,9327,woocommerce-ajax-filters,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
BeRocket_AAPF_getall_Template_Styles,yes,9126,woocommerce-ajax-filters,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,Autoloaded 9126B from inactive plugin
_hello-elementor_notifications,off,8381,elementor,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
woocommerce_tracker_ua,off,7865,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
br_get_taxonomy_hierarchy_product_cat,off,7865,woocommerce-ajax-filters,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
wp-smush-optimization-global-stats,off,7847,wp-smushit,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
_transient_wc_report_orders_stats_98a50fccf7691bc5c4009d4267c04cb6,off,7808,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
wpseo,yes,7368,wordpress-seo,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,Autoloaded 7368B from inactive plugin
_transient_wc_report_products_stats_609b8e35add0cf1226b74d00b713ec26,off,7223,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
_transient_wc_report_orders_stats_54b8c4cd1023da88d87c61a17bfef247,off,7146,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
_transient_wc_report_orders_stats_619f42fb7813ac5e2aab8b9b0935183a,off,6815,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
wpassetcleanup_post_type_load_exceptions,off,6633,wp-asset-clean-up,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
_transient_wc_report_products_stats_085964502507b3bb11c2af506fe6f87b,off,6613,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
wp-smush-reoptimize-list,off,6560,wp-smushit,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
_transient_wc_report_products_stats_eae8c3eb41ac133d7b316216d3527508,off,6308,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
_transient_woocommerce_blocks_asset_api_script_data_ssl,off,6062,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
_transient_woocommerce_blocks_asset_api_script_data,off,6043,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
generate_dynamic_css_output,auto,5399,generatepress,yes,KEEP,high,Restore from app/sql/local.sql,
cmplz_wsc_logs,off,5387,complianz-gdpr,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
updraft_last_backup,on,4937,updraftplus,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,Autoloaded 4937B from inactive plugin
wf_feed_bigdiamondzakupy,yes,4651,wordfence,no,BLOCKED,medium,Restore from app/sql/local.sql,Autoloaded 4651B from inactive plugin
br_filters_options,yes,4467,woocommerce-ajax-filters,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,Autoloaded 4467B from inactive plugin
cmplz_serviceTypes_pl,off,4235,complianz-gdpr,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
cmplz_options,auto,4224,complianz-gdpr,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,Autoloaded 4224B from inactive plugin
_transient_woocommerce_marketplace_promotions_v2,off,4064,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
cmplz_serviceTypes_en,off,4011,complianz-gdpr,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
_transient_wc_report_orders_stats_01c192b13901b23fd7405058b1d31794,off,3466,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
